eta,mi,S1
0.9053757,2.9646993,0.76436365
-3.7069106,0.0006347458,0.025913622
0.99314106,1.4153297,0.17115211
-0.5201649,0.35716045,0.6146171
1.2653698,4.1516438,0.8510341
-1.9747719,0.00022620964,0.0016524188
0.1394027,1.6909325,0.57319635
-0.97563994,0.0005393216,0.0014845992
1.7069877,6.460998,0.933593
-2.334648,0.021261325,0.22119653
-0.22042091,1.5159497,0.6033184
0.018276991,1.1451262,0.1408781
0.66545856,2.7001452,0.82200116
-0.33591035,0.019248774,0.028802581
1.1408542,2.1952949,0.4112087
-0.17298245,0.20623064,0.26042855
1.0615543,1.9717116,0.3619394
-3.6815841,0.008416398,0.33476874
-4.4170833,0.0015829235,0.13128947
-0.50541085,0.015629023,0.027427744
